Results	Entity	Line	Column	CheckID	Check Name	Ignored	Note
"Violation: basic numerical type """"int"""" used."	i	201	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	tmp	201	15	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	fPlayerWasHit	202	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shootThreshold	203	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	alienshot_counter	204	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Identifier random, does not have a definition	random	239	38	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
"Violation: basic numerical type """"int"""" used."	aliensHitCheck	269	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotx	269	23	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shoty	269	34	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	alienType	271	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shipx	272	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shipy	272	19	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	bunkersHitCheck	291	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotx	291	24	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shoty	291	35	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	adjx	293	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	adjy	293	18	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	fBunkerWasHit	294	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
/home/gabriele/projects/ninvaders-0.1.1/aliens.h							
Non distinct external identifier Aliens conflicts with entity Aliens in file aliens.h	Aliens	30	15	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliens conflicts with entity alienshotnum in file aliens.h	aliens	41	7	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliens conflicts with entity alienshotx in file aliens.h	aliens	41	7	MISRA12_5.1	5.1 External identifiers shall be distinct		
Non distinct external identifier aliens conflicts with entity alienshoty in file aliens.h	aliens	41	7	MISRA12_5.1	5.1 External identifiers shall be distinct		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
Include guards not used in file		25	1	MISRA12_4.10	Directive 4.10 Precautions shall be taken in order to prevent the contents of a header file being included more than once		
Identifier is typographically ambiguous to Aliens	aliens	41	7	MISRA12_4.5	Directive 4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous		
"Violation: basic numerical type """"int"""" used."	shipnum	43	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	posX	33	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	posY	34	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	right	35	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	left	36	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	bottom	37	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	speed	38	12	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function aliens, has external linkage but no visible declaration	aliens	41	7	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Object or function shipnum, has external linkage but no visible declaration	shipnum	43	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Function or object lowest_ship, has external linkage but is only used in the translation unit built from aliens.c.	lowest_ship	50	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Violation: basic numerical type """"int"""" used in """"int [10]""""."	lowest_ship	50	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function lowest_ship, has external linkage but no visible declaration	lowest_ship	50	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Function or object alienshotx, has external linkage but is only used in the translation unit built from aliens.c.	alienshotx	51	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Violation: basic numerical type """"int"""" used in """"int [10]""""."	alienshotx	51	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function alienshotx, has external linkage but no visible declaration	alienshotx	51	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Function or object alienshoty, has external linkage but is only used in the translation unit built from aliens.c.	alienshoty	52	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Violation: basic numerical type """"int"""" used in """"int [10]""""."	alienshoty	52	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function alienshoty, has external linkage but no visible declaration	alienshoty	52	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Function or object alienshotnum, has external linkage but is only used in the translation unit built from aliens.c.	alienshotnum	53	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Violation: basic numerical type """"int"""" used."	alienshotnum	53	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function alienshotnum, has external linkage but no visible declaration	alienshotnum	53	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
alienshotnum is only used in a single function and should be defined at block scope.	alienshotnum	53	4	MISRA12_8.9	8.9 An object should be defined at block scope if its identifier only appears in a single function		
Function or object alienBlock, has external linkage but is only used in the translation unit built from aliens.c.	alienBlock	54	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Violation: basic numerical type """"int"""" used in """"int [5][10]""""."	alienBlock	54	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function alienBlock, has external linkage but no visible declaration	alienBlock	54	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
Function or object bunker, has external linkage but is only used in the translation unit built from aliens.c.	bunker	56	4	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"Violation: basic numerical type """"int"""" used in """"int [4][81]""""."	bunker	56	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function bunker, has external linkage but no visible declaration	bunker	56	4	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
"Keyword """"void"""" not used to denote empty parameter list for function aliensReset"	aliensReset	59	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function bunkersReset"	bunkersReset	60	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	aliensMove	61	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function aliensMove"	aliensMove	61	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	aliensMissileMove	62	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function aliensMissileMove"	aliensMissileMove	62	4	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Keyword """"void"""" not used to denote empty parameter list for function render"	render	63	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
"Violation: basic numerical type """"int"""" used."	aliensHitCheck	64	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotx	64	23	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shoty	64	34	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	bunkersHitCheck	65	4	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shotx	65	24	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	shoty	65	35	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function aliensDisplay, has more than one declaration	aliensDisplay	69	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	x	69	30	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	69	37	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	wid	69	44	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	hgt	69	53	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function aliensClear, has more than one declaration	aliensClear	70	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	x	70	28	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	70	35	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	wid	70	42	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	hgt	70	51	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function aliensRefresh, has more than one declaration	aliensRefresh	71	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	level	71	30	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used in """"int *""""."	pAliens	71	42	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function aliensMissileDisplay, has more than one declaration	aliensMissileDisplay	72	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	x	72	37	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	72	44	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function aliensMissileClear, has more than one declaration	aliensMissileClear	73	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	x	73	35	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	73	42	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function bunkersClearElement, has more than one declaration	bunkersClearElement	74	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Violation: basic numerical type """"int"""" used."	x	74	36	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Violation: basic numerical type """"int"""" used."	y	74	43	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Object or function bunkersClear, has more than one declaration	bunkersClear	75	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
"Keyword """"void"""" not used to denote empty parameter list for function bunkersClear"	bunkersClear	75	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Identifier bunkersRefresh, does not have a definition	bunkersRefresh	76	12	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
"Keyword """"void"""" not used to denote empty parameter list for function bunkersRefresh"	bunkersRefresh	76	12	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
/home/gabriele/projects/ninvaders-0.1.1/globals.c							
Identifier usleep, does not have a definition	usleep	46	8	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Discarded Return Values	doSleep	46	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Character sequence /* or // used in a comment		1	0	MISRA12_3.1	3.1 The character sequences /* and // shall not be used within a comment		
"Violation: basic numerical type """"int"""" used."	microseconds	44	17	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
"Keyword """"void"""" not used to denote empty parameter list for function showVersion"	showVersion	53	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Discarded Return Values	showVersion	55	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showVersion	56	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showVersion	57	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showVersion	58	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showVersion	59	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showVersion	60	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showVersion	61	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
"Keyword """"void"""" not used to denote empty parameter list for function showUsage"	showUsage	68	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Discarded Return Values	showUsage	71	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showUsage	72	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showUsage	73	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showUsage	74	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showUsage	75	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Function or object waitForReturn, has external linkage but is only used in the translation unit built from globals.c.	waitForReturn	82	5	MISRA12_8.7	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit		
"C Function """"waitForReturn"""" appears to have internal linkage within globals.c, so static keyword should be used."	waitForReturn	82	5	MISRA12_8.8	8.8 The static storage class specifier shall be used in all declarations of objects and functions that have internal linkage		
"Keyword """"void"""" not used to denote empty parameter list for function waitForReturn"	waitForReturn	82	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Object or function waitForReturn, has external linkage but no visible declaration	waitForReturn	82	5	MISRA12_8.4	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined		
"Violation: basic numerical type """"char"""" used in """"char [2]""""."	b	84	13	MISRA12_4.6	Directive 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types		
Discarded Return Values	waitForReturn	85	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Identifier fgets, does not have a definition	fgets	86	8	MISRA12_8.6	8.6 ( Strict | Special ) An identifier with external linkage shall have exactly one external definition		
Discarded Return Values	waitForReturn	86	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
"Keyword """"void"""" not used to denote empty parameter list for function showGplShort"	showGplShort	92	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Discarded Return Values	showGplShort	94	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	95	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	96	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	97	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	98	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	99	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	100	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	101	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	102	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	103	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	104	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	105	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	106	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	107	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	108	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	109	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	110	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGplShort	111	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Non distinct external identifier showGpl conflicts with entity showGplShort in file globals.c	showGpl	117	5	MISRA12_5.1	5.1 External identifiers shall be distinct		
"Keyword """"void"""" not used to denote empty parameter list for function showGpl"	showGpl	117	5	MISRA12_8.2	8.2 Function types shall be in prototype form with named parameters		
Discarded Return Values	showGpl	119	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	120	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	121	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	122	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	123	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	124	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	125	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	126	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	127	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	128	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	129	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	130	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	131	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	132	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	133	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	134	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	135	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	136	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	137	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	138	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	139	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	140	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	141	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	142	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	143	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	147	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	148	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	149	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	150	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	151	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
